dateId,dateType,fullDate,day,dayName,calendarDayOfWeek,noncalendarDayOfWeek,dayOfQuarter,dayOfYear,monthDay
20190902,Date,9/2/2019,2,Monday,2,7,64,245,2-Sep
20190903,Date,9/3/2019,3,Tuesday,3,1,65,246,3-Sep
20190904,Date,9/4/2019,4,Wednesday,4,2,66,247,4-Sep
20190905,Date,9/5/2019,5,Thursday,5,3,67,248,5-Sep
20190906,Date,9/6/2019,6,Friday,6,4,68,249,6-Sep
20190907,Date,9/7/2019,7,Saturday,7,5,69,250,7-Sep
20190908,Date,9/8/2019,8,Sunday,1,6,70,251,8-Sep
20190909,Date,9/9/2019,9,Monday,2,7,71,252,9-Sep
20190910,Date,9/10/2019,10,Tuesday,3,1,72,253,10-Sep
20190911,Date,9/11/2019,11,Wednesday,4,2,73,254,11-Sep
20190912,Date,9/12/2019,12,Thursday,5,3,74,255,12-Sep
20190913,Date,9/13/2019,13,Friday,6,4,75,256,13-Sep
20190914,Date,9/14/2019,14,Saturday,7,5,76,257,14-Sep
20190915,Date,9/15/2019,15,Sunday,1,6,77,258,15-Sep
20190916,Date,9/16/2019,16,Monday,2,7,78,259,16-Sep
20190917,Date,9/17/2019,17,Tuesday,3,1,79,260,17-Sep
20190918,Date,9/18/2019,18,Wednesday,4,2,80,261,18-Sep
20190919,Date,9/19/2019,19,Thursday,5,3,81,262,19-Sep
20190920,Date,9/20/2019,20,Friday,6,4,82,263,20-Sep
20190921,Date,9/21/2019,21,Saturday,7,5,83,264,21-Sep
20190922,Date,9/22/2019,22,Sunday,1,6,84,265,22-Sep
20190923,Date,9/23/2019,23,Monday,2,7,85,266,23-Sep
20190924,Date,9/24/2019,24,Tuesday,3,1,86,267,24-Sep
20190925,Date,9/25/2019,25,Wednesday,4,2,87,268,25-Sep
20190926,Date,9/26/2019,26,Thursday,5,3,88,269,26-Sep
20190927,Date,9/27/2019,27,Friday,6,4,89,270,27-Sep
20190928,Date,9/28/2019,28,Saturday,7,5,90,271,28-Sep
20190929,Date,9/29/2019,29,Sunday,1,6,91,272,29-Sep
20190930,Date,9/30/2019,30,Monday,2,7,92,273,30-Sep
20191001,Date,10/1/2019,1,Tuesday,3,1,1,274,1-Oct
20191002,Date,10/2/2019,2,Wednesday,4,2,2,275,2-Oct
20191003,Date,10/3/2019,3,Thursday,5,3,3,276,3-Oct
20191004,Date,10/4/2019,4,Friday,6,4,4,277,4-Oct
20191005,Date,10/5/2019,5,Saturday,7,5,5,278,5-Oct
20191006,Date,10/6/2019,6,Sunday,1,6,6,279,6-Oct
20191007,Date,10/7/2019,7,Monday,2,7,7,280,7-Oct
20191008,Date,10/8/2019,8,Tuesday,3,1,8,281,8-Oct
20191009,Date,10/9/2019,9,Wednesday,4,2,9,282,9-Oct
20191010,Date,10/10/2019,10,Thursday,5,3,10,283,10-Oct
20191011,Date,10/11/2019,11,Friday,6,4,11,284,11-Oct
20191012,Date,10/12/2019,12,Saturday,7,5,12,285,12-Oct
20191013,Date,10/13/2019,13,Sunday,1,6,13,286,13-Oct
20191014,Date,10/14/2019,14,Monday,2,7,14,287,14-Oct
20191015,Date,10/15/2019,15,Tuesday,3,1,15,288,15-Oct
20191016,Date,10/16/2019,16,Wednesday,4,2,16,289,16-Oct
20191017,Date,10/17/2019,17,Thursday,5,3,17,290,17-Oct
20191018,Date,10/18/2019,18,Friday,6,4,18,291,18-Oct
20191019,Date,10/19/2019,19,Saturday,7,5,19,292,19-Oct
20191020,Date,10/20/2019,20,Sunday,1,6,20,293,20-Oct
20191021,Date,10/21/2019,21,Monday,2,7,21,294,21-Oct
20191022,Date,10/22/2019,22,Tuesday,3,1,22,295,22-Oct
20191023,Date,10/23/2019,23,Wednesday,4,2,23,296,23-Oct
20191024,Date,10/24/2019,24,Thursday,5,3,24,297,24-Oct
20191025,Date,10/25/2019,25,Friday,6,4,25,298,25-Oct
20191026,Date,10/26/2019,26,Saturday,7,5,26,299,26-Oct
20191027,Date,10/27/2019,27,Sunday,1,6,27,300,27-Oct
20191028,Date,10/28/2019,28,Monday,2,7,28,301,28-Oct
20191029,Date,10/29/2019,29,Tuesday,3,1,29,302,29-Oct
20191030,Date,10/30/2019,30,Wednesday,4,2,30,303,30-Oct
20191031,Date,10/31/2019,31,Thursday,5,3,31,304,31-Oct
20191101,Date,11/1/2019,1,Friday,6,4,32,305,1-Nov
20191102,Date,11/2/2019,2,Saturday,7,5,33,306,2-Nov
20191103,Date,11/3/2019,3,Sunday,1,6,34,307,3-Nov
20191104,Date,11/4/2019,4,Monday,2,7,35,308,4-Nov
20191105,Date,11/5/2019,5,Tuesday,3,1,36,309,5-Nov
20191106,Date,11/6/2019,6,Wednesday,4,2,37,310,6-Nov
20191107,Date,11/7/2019,7,Thursday,5,3,38,311,7-Nov
20191108,Date,11/8/2019,8,Friday,6,4,39,312,8-Nov
20191109,Date,11/9/2019,9,Saturday,7,5,40,313,9-Nov
20191110,Date,11/10/2019,10,Sunday,1,6,41,314,10-Nov
20191111,Date,11/11/2019,11,Monday,2,7,42,315,11-Nov
20191112,Date,11/12/2019,12,Tuesday,3,1,43,316,12-Nov
20191113,Date,11/13/2019,13,Wednesday,4,2,44,317,13-Nov
20191114,Date,11/14/2019,14,Thursday,5,3,45,318,14-Nov
20191115,Date,11/15/2019,15,Friday,6,4,46,319,15-Nov
20191116,Date,11/16/2019,16,Saturday,7,5,47,320,16-Nov
20191117,Date,11/17/2019,17,Sunday,1,6,48,321,17-Nov
20191118,Date,11/18/2019,18,Monday,2,7,49,322,18-Nov
20191119,Date,11/19/2019,19,Tuesday,3,1,50,323,19-Nov
20191120,Date,11/20/2019,20,Wednesday,4,2,51,324,20-Nov
20191121,Date,11/21/2019,21,Thursday,5,3,52,325,21-Nov
20191122,Date,11/22/2019,22,Friday,6,4,53,326,22-Nov
20191123,Date,11/23/2019,23,Saturday,7,5,54,327,23-Nov
20191124,Date,11/24/2019,24,Sunday,1,6,55,328,24-Nov
20191125,Date,11/25/2019,25,Monday,2,7,56,329,25-Nov
20191126,Date,11/26/2019,26,Tuesday,3,1,57,330,26-Nov
20191127,Date,11/27/2019,27,Wednesday,4,2,58,331,27-Nov
20191128,Date,11/28/2019,28,Thursday,5,3,59,332,28-Nov
20191129,Date,11/29/2019,29,Friday,6,4,60,333,29-Nov
20191130,Date,11/30/2019,30,Saturday,7,5,61,334,30-Nov
20191201,Date,12/1/2019,1,Sunday,1,6,62,335,1-Dec
20191202,Date,12/2/2019,2,Monday,2,7,63,336,2-Dec
20191203,Date,12/3/2019,3,Tuesday,3,1,64,337,3-Dec
20191204,Date,12/4/2019,4,Wednesday,4,2,65,338,4-Dec
20191205,Date,12/5/2019,5,Thursday,5,3,66,339,5-Dec
20191206,Date,12/6/2019,6,Friday,6,4,67,340,6-Dec
20191207,Date,12/7/2019,7,Saturday,7,5,68,341,7-Dec
20191208,Date,12/8/2019,8,Sunday,1,6,69,342,8-Dec
20191209,Date,12/9/2019,9,Monday,2,7,70,343,9-Dec
20191210,Date,12/10/2019,10,Tuesday,3,1,71,344,10-Dec
20191211,Date,12/11/2019,11,Wednesday,4,2,72,345,11-Dec
20191212,Date,12/12/2019,12,Thursday,5,3,73,346,12-Dec
20191213,Date,12/13/2019,13,Friday,6,4,74,347,13-Dec
20191214,Date,12/14/2019,14,Saturday,7,5,75,348,14-Dec
20191215,Date,12/15/2019,15,Sunday,1,6,76,349,15-Dec
20191216,Date,12/16/2019,16,Monday,2,7,77,350,16-Dec
20191217,Date,12/17/2019,17,Tuesday,3,1,78,351,17-Dec
20191218,Date,12/18/2019,18,Wednesday,4,2,79,352,18-Dec
20191219,Date,12/19/2019,19,Thursday,5,3,80,353,19-Dec
20191220,Date,12/20/2019,20,Friday,6,4,81,354,20-Dec
20191221,Date,12/21/2019,21,Saturday,7,5,82,355,21-Dec
20191222,Date,12/22/2019,22,Sunday,1,6,83,356,22-Dec
20191223,Date,12/23/2019,23,Monday,2,7,84,357,23-Dec
20191224,Date,12/24/2019,24,Tuesday,3,1,85,358,24-Dec
20191225,Date,12/25/2019,25,Wednesday,4,2,86,359,25-Dec
20191226,Date,12/26/2019,26,Thursday,5,3,87,360,26-Dec
20191227,Date,12/27/2019,27,Friday,6,4,88,361,27-Dec
20191228,Date,12/28/2019,28,Saturday,7,5,89,362,28-Dec
20191229,Date,12/29/2019,29,Sunday,1,6,90,363,29-Dec
20191230,Date,12/30/2019,30,Monday,2,7,91,364,30-Dec
20191231,Date,12/31/2019,31,Tuesday,3,1,92,365,31-Dec
20200101,Date,1/1/2020,1,Wednesday,4,1,1,1,1-Jan
20200102,Date,1/2/2020,2,Thursday,5,2,2,2,2-Jan
20200103,Date,1/3/2020,3,Friday,6,3,3,3,3-Jan
20200104,Date,1/4/2020,4,Saturday,7,4,4,4,4-Jan
20200105,Date,1/5/2020,5,Sunday,1,5,5,5,5-Jan
20200106,Date,1/6/2020,6,Monday,2,6,6,6,6-Jan
20200107,Date,1/7/2020,7,Tuesday,3,7,7,7,7-Jan
20200108,Date,1/8/2020,8,Wednesday,4,1,8,8,8-Jan
20200109,Date,1/9/2020,9,Thursday,5,2,9,9,9-Jan
20200110,Date,1/10/2020,10,Friday,6,3,10,10,10-Jan
20200111,Date,1/11/2020,11,Saturday,7,4,11,11,11-Jan
20200112,Date,1/12/2020,12,Sunday,1,5,12,12,12-Jan
20200113,Date,1/13/2020,13,Monday,2,6,13,13,13-Jan
