calendarWeekOfYear,noncalendarWeekOfYear,yearQuarterMonthWeek,month,monthName,monthOfQuarter,monthYear,monthNameYear,yearQuarterMonth,termCode,bannerTermCode,termFrom1900,quarter,quarterName,quarterYear,quarterNameYear,yearQuarter,year,quarterMonthWeekDay,quarterMonthWeek
16,16,20002043,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204318,2043
16,16,20002043,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204319,2043
16,16,20002043,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204320,2043
16,16,20002043,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204321,2043
16,17,20002044,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204422,2044
17,17,20002044,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204423,2044
17,17,20002044,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204424,2044
17,17,20002044,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204425,2044
17,17,20002044,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204426,2044
17,17,20002044,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204427,2044
17,17,20002044,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204428,2044
17,18,20002045,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204529,2045
18,18,20002045,4,April,1,4/2000,"April, 2000",2000204,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,204530,2045
18,18,20002051,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205101,2051
18,18,20002051,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205102,2051
18,18,20002051,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205103,2051
18,18,20002051,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205104,2051
18,18,20002051,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205105,2051
18,19,20002051,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205106,2051
19,19,20002051,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205107,2051
19,19,20002052,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205208,2052
19,19,20002052,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205209,2052
19,19,20002052,5,May,2,5/2000,"May, 2000",2000205,401,20002,200057,2,Q2,2/2000,Q2 2000,20002,2000,205210,2052
19,19,20002052,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205211,2052
19,19,20002052,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205212,2052
19,20,20002052,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205213,2052
20,20,20002052,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205214,2052
20,20,20002053,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205315,2053
20,20,20002053,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205316,2053
20,20,20002053,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205317,2053
20,20,20002053,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205318,2053
20,20,20002053,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205319,2053
20,21,20002053,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205320,2053
21,21,20002053,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205321,2053
21,21,20002054,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205422,2054
21,21,20002054,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205423,2054
21,21,20002054,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205424,2054
21,21,20002054,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205425,2054
21,21,20002054,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205426,2054
21,22,20002054,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205427,2054
22,22,20002054,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205428,2054
22,22,20002055,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205529,2055
22,22,20002055,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205530,2055
22,22,20002055,5,May,2,5/2000,"May, 2000",2000205,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,205531,2055
22,22,20002061,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206101,2061
22,22,20002061,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206102,2061
22,23,20002061,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206103,2061
23,23,20002061,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206104,2061
23,23,20002061,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206105,2061
23,23,20002061,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206106,2061
23,23,20002061,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206107,2061
23,23,20002062,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206208,2062
23,23,20002062,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206209,2062
23,24,20002062,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206210,2062
24,24,20002062,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206211,2062
24,24,20002062,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206212,2062
24,24,20002062,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206213,2062
24,24,20002062,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206214,2062
24,24,20002063,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206315,2063
24,24,20002063,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206316,2063
24,25,20002063,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206317,2063
25,25,20002063,6,June,3,6/2000,"June, 2000",2000206,402,20003,200087,2,Q2,2/2000,Q2 2000,20002,2000,206318,2063
